right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
9.07,175,-1.2542,0.7716,-13.128,-0.1141,1.128,0.5791,75,9.042,174,-3.1078,6.9701,-4.4603,0.085,-0.303,-0.4544,86,8.847,170,10.2898,-2.6268,-12.4854,-0.4601,-1.2027,0.3725,71,9.267,178,8.7995,-1.2552,-19.2963,-0.9298,1.1821,-0.9903,40,82090.871,1587446,0.3744,0.0215,-7.3067,-2.1813,1.9028,0.2667,47
9.121,176,-0.2359,3.7745,-17.5672,-0.1014,1.5057,0.4327,75,9.094,175,-3.4072,6.8808,-4.4407,0.2398,-0.4407,-0.4919,86,8.899,171,11.7487,-3.0508,-12.6215,-0.6835,-1.5511,0.5634,71,9.318,179,10.2332,3.6659,-11.6803,-0.3554,0.2568,-0.7355,40,82090.923,1587447,0.3971,0.0565,-7.5787,-2.2699,2.0579,0.2604,47
9.173,177,3.4351,2.8562,-20.8178,0.6003,0.4296,0.6252,75,9.145,176,-3.2936,7.2633,-4.019,0.2774,-0.5568,-0.5566,86,8.951,172,12.1033,-3.0782,-12.4281,-1.1454,-1.7904,0.8609,71,9.37,180,10.95,2.4927,-14.127,-0.825,-0.395,-0.2782,40,82090.974,1587448,-0.04,-3.4638,-12.0999,-1.351,1.8337,0.4965,47
9.225,178,4.173,-0.3795,-20.9505,-0.2392,-0.3558,1.1194,75,9.197,177,-3.1748,7.3022,-3.6897,0.2173,-0.5306,-0.6091,86,9.003,173,10.4912,-3.2902,-13.3428,-1.3849,-1.5766,0.8951,71,9.422,181,9.1613,2.0287,-13.7548,-0.3325,-0.9046,-0.1517,40,82091.026,1587449,-1.0877,-7.7859,-13.8431,-0.6035,1.2251,0.2136,47
9.277,179,4.9794,0.7128,-19.4657,0.3401,-0.929,1.2322,75,10.403,178,-2.4721,7.1982,-2.9549,0.0146,-0.6743,-0.8239,86,9.055,174,8.8763,-4.0056,-15.5513,-0.6803,-1.1892,0.5962,71,9.474,182,8.745,0.6273,-12.7548,-0.2217,-0.9168,-0.1259,40,82091.078,1587450,-0.8975,-4.6439,-11.5139,0.2334,0.231,0.5821,47
9.328,180,3.6268,1.2885,-17.9801,0.2512,-0.8612,1.2601,75,10.455,179,-1.9983,6.8212,-2.8297,-0.3269,-0.5645,-0.811,86,9.107,175,7.9291,-1.7105,-13.8462,0.1019,-0.4061,0.2442,71,9.526,183,8.8261,0.661,-12.3208,-0.2274,-0.8258,-0.0881,40,82091.13,1587451,-0.6594,-3.0692,-10.3729,0.8442,-0.4945,0.8818,47
9.38,181,1.2666,1.016,-17.888,0.0693,-0.3134,1.2352,75,10.507,180,-2.1268,6.4973,-3.5174,0.183,-0.3665,-0.6085,86,9.158,176,8.0289,0.0594,-13.8811,-0.1972,0.3811,-0.0574,71,9.577,184,8.974,0.3502,-12.2275,-0.2855,-0.7599,0.0053,40,82091.181,1587452,-0.4716,-1.8602,-9.6402,1.29,-1.024,1.0994,47
9.432,182,-2.7602,0.0974,-18.1522,-0.1161,-0.7369,0.9506,75,10.559,181,-2.6004,6.4164,-3.8153,0.3562,-0.5548,-0.4579,86,9.21,177,8.6987,-0.5867,-13.8236,-0.6777,0.9565,-0.0567,71,9.629,185,8.9143,0.5207,-12.1589,-0.2881,-0.6402,0.0372,40,82091.233,1587453,1.2577,-0.831,-9.8965,0.2637,-0.0625,1.0859,47
9.484,183,-3.6188,0.1134,-17.6763,0.1176,-1.2039,0.4449,75,10.61,182,-2.8654,7.7924,-2.8947,0.461,-0.7469,-0.4475,86,9.262,178,9.9862,0.0289,-14.2476,-0.1722,1.3765,-0.163,71,9.681,186,8.9225,0.5844,-11.8485,-0.2161,-0.6026,0.0311,40,82091.285,1587454,1.1547,-0.6334,-9.0509,-0.4854,0.643,1.0829,47
9.536,184,-3.7515,-0.7373,-17.3789,0.3745,-1.4723,0.0158,75,10.662,183,-2.4989,8.0432,-2.6851,0.2586,-0.5934,-0.6415,86,9.314,179,11.4151,0.3751,-15.0206,-0.2522,1.683,-0.3932,71,9.733,187,8.8151,0.8871,-11.8577,-0.2045,-0.5878,0.0994,40,82091.337,1587455,1.0831,-0.5157,-8.4174,-1.0322,1.158,1.0814,47
9.587,185,-2.6672,-1.5571,-16.3166,0.5826,-1.4714,-0.0126,75,10.714,184,-2.3319,7.3977,-3.2682,0.1104,-0.6069,-0.8087,86,9.366,180,11.1949,-0.0528,-16.2994,-0.4426,1.9066,-0.6285,71,9.784,188,8.8687,0.7679,-11.9443,-0.2256,-0.5724,0.1748,40,82091.388,1587456,1.033,-0.4308,-7.9373,-1.4312,1.5338,1.0814,47
9.639,186,-0.3715,-5.4713,-19.3926,0.9542,-0.5892,-0.0158,75,10.766,185,-2.4477,7.4707,-3.6264,0.1281,-0.6493,-0.839,86,9.417,181,8.6387,-1.2229,-18.366,-0.9983,1.955,-0.6148,71,9.836,189,8.8036,0.4888,-12.1044,-0.087,-0.4895,0.1872,40,82091.44,1587457,0.9833,-0.3823,-7.5979,-1.7224,1.8081,1.0831,47
9.691,187,-0.3719,-0.2229,-13.1406,0.2028,-0.2275,0.0069,75,10.818,186,-2.3671,7.9512,-3.5874,0.2695,-0.6943,-0.9096,86,9.469,182,10.2587,-1.9783,-13.3981,-1.4038,0.9295,-0.2596,71,9.888,190,8.6423,0.6607,-12.1161,-0.0168,-0.5054,0.2397,40,82091.492,1587458,0.9362,-0.3362,-7.3437,-1.935,2.0083,1.0852,47
9.743,188,1.123,-0.9417,-10.7138,-0.5294,0.5164,-0.2684,75,10.869,187,-2.1544,8.095,-3.6694,0.1489,-0.7159,-0.9707,86,9.521,183,11.2858,-5.3897,-11.943,-0.4829,0.2433,-0.2048,71,9.94,191,8.5842,0.7371,-12.1791,0.0651,-0.6364,0.391,40,82091.544,1587459,0.8994,-0.318,-7.1676,-2.0901,2.1544,1.0887,47
9.795,189,5.8772,0.6454,-15.8159,-0.7668,1.0593,-0.5376,75,10.921,188,-2.2488,7.6404,-3.6501,0.2823,-0.8331,-0.9788,86,9.573,184,10.9306,-1.4163,-11.7085,-0.3422,-0.1933,0.0414,71,9.992,192,9.3313,0.6013,-12.5129,0.3035,-0.945,0.6039,40,82091.595,1587460,4.5023,-0.0127,-11.8829,-2.2033,2.261,1.1239,47
9.846,190,4.5799,0.5998,-18.9888,-0.6329,0.4794,0.0041,75,10.973,189,-2.39,7.1857,-3.4047,0.0814,-0.9619,-1.0828,86,9.625,185,9.8221,-2.1959,-11.8377,-0.5111,-0.5036,0.2171,71,10.043,193,11.3331,0.8252,-12.5401,0.4315,-1.3565,0.942,40,82091.647,1587461,5.7708,1.2911,-16.5588,-1.9682,2.1023,0.7236,47
9.898,191,3.9246,-1.6907,-19.8831,-0.7098,-0.3194,0.6714,75,11.025,190,-2.6485,6.4365,-3.8052,-0.0479,-0.9087,-1.1817,86,9.676,186,9.592,-2.2641,-11.7698,-0.45,-0.6141,0.2382,71,10.095,194,13.352,0.731,-12.4604,0.7226,-1.6568,1.3011,40,82091.699,1587462,6.1099,1.2648,-18.5499,-1.4721,1.5195,0.14,47
9.95,192,1.8907,-2.23,-19.8387,-0.6398,-0.6367,1.1231,75,11.076,191,-3.0088,5.7131,-4.5397,-0.0933,-0.869,-1.1278,86,9.728,187,9.4067,-2.3166,-11.5415,-0.3285,-0.6018,0.1512,71,10.147,195,11.0943,0.8489,-12.7871,0.5608,-1.5249,1.5287,40,82091.751,1587463,4.4971,0.8303,-15.949,-0.9609,0.4676,-0.297,47
10.002,193,-1.2237,-1.4125,-20.1876,0.0044,-1.1341,1.1697,75,11.128,192,-3.5538,6.5541,-4.4907,0.1362,-0.9793,-0.7382,86,9.78,188,9.3257,-1.9947,-11.307,-0.4106,-0.5387,0.1394,71,10.199,196,10.1913,1.8481,-11.3732,-0.0132,-0.7636,1.312,40,82091.802,1587464,3.2954,0.4984,-14.0197,-0.5856,-0.3011,-0.6165,47
10.054,194,-1.6285,0.1191,-20.0564,0.6606,-1.497,0.9449,75,11.18,193,-3.2401,8.4732,-3.0711,0.6812,-0.8048,-0.4614,86,9.832,189,9.2582,-2.0463,-11.0183,-0.4134,-0.5616,0.1281,71,10.251,197,9.1918,2.3055,-10.9885,-0.3752,0.1276,0.8828,40,82091.854,1587465,2.4499,0.231,-12.4841,-0.3091,-0.8619,-0.8502,47
10.105,195,-1.1349,1.0947,-18.9634,0.6724,-1.7619,0.6754,75,11.232,194,-2.7153,7.2351,-3.8562,-0.0269,-0.8086,-0.5965,86,9.883,190,9.2284,-2.0222,-11.07,-0.244,-0.6574,0.1126,71,10.303,198,9.1703,2.452,-11.343,-0.9398,0.7781,0.4378,40,82091.906,1587466,2.2267,-0.172,-16.3364,-0.4381,-0.2634,-0.591,47
