right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
17.528,338,4.4911,-1.662,-13.1323,1.5985,0.6379,1.3678,75,16.915,326,8.8546,1.5611,-11.4897,-0.596,0.508,-0.5731,88,17.409,336,12.5021,-2.2866,-11.7156,-0.7984,-0.5694,0.6252,70,17.237,332,8.4078,0.2757,-10.9488,-1.4069,-0.5402,1.2918,40,80658.829,1559757,-0.2639,0.9683,-7.6663,1.4424,2.0017,0.7087,47
17.579,339,0.9096,-0.139,-17.581,0.96,0.1341,1.3379,75,16.967,327,9.542,1.057,-9.6465,-0.9832,-0.047,-0.315,88,17.461,337,11.8094,-2.2758,-11.8136,-0.7681,-0.694,0.4396,70,17.289,333,7.7498,-0.4437,-10.3578,-0.9705,0.2907,1.2097,40,80658.88,1559758,-0.2869,0.6856,-7.5602,1.7266,2.0726,0.9148,47
17.631,340,2.5024,-0.1416,-19.0158,0.0251,-0.5714,0.6017,75,17.019,328,9.716,0.7371,-9.9888,-0.9423,-0.2107,0.007,88,17.513,338,11.194,-2.4538,-11.9518,-0.6212,-0.7181,0.2974,70,17.34,334,8.1111,-0.7953,-10.9171,-0.3068,0.8971,1.0403,40,80658.932,1559759,-4.6077,4.405,-13.5433,0.7761,0.8496,-0.0084,47
17.683,341,6.8836,5.2866,-13.5451,-0.6569,-1.0864,0.0243,75,17.071,329,9.1632,0.9057,-9.6073,-0.5781,-0.4595,0.4262,88,17.564,339,10.5305,-2.3115,-12.2728,-0.5246,-0.7521,0.1984,70,17.392,335,9.6614,-0.4381,-11.8401,0.0848,1.3397,0.8049,40,80658.984,1559760,-5.4533,1.1788,-10.3872,0.0784,-0.043,-0.6822,47
17.735,342,10.0813,-1.3393,-13.3165,-0.9218,-0.1717,0.5627,75,17.122,330,8.8964,1.4075,-9.6405,-0.1613,-0.4654,0.7046,88,17.616,340,10.0447,-2.224,-12.4645,-0.3998,-0.8017,0.1121,70,17.444,336,12.1686,0.1548,-15.6134,-0.6152,1.6628,1.0608,40,80659.036,1559761,-4.1393,-0.9047,-8.4361,-0.4136,-0.6945,-1.174,47
17.787,343,12.415,-1.7213,-9.2433,-0.4911,0.5571,0.8916,75,17.174,331,8.023,2.1731,-9.5465,0.2658,-0.3483,0.6888,88,17.668,341,10.0975,-2.4089,-12.1831,-0.2765,-1.0536,0.0041,70,17.496,337,9.3514,1.0341,-17.7047,-0.7859,1.8929,0.7795,40,80659.087,1559762,-2.9971,-2.3285,-7.2722,-0.6499,-1.17,-1.5329,47
17.838,344,9.6148,-4.3915,-7.3607,-0.7412,1.089,1.3274,75,17.226,332,7.6696,2.755,-9.2755,0.5119,-0.2909,0.4327,88,17.72,342,10.4684,-2.3051,-12.3306,-0.261,-1.4424,0.0793,70,17.548,338,6.5729,1.3468,-19.5316,-0.6251,0.8362,0.3432,40,80659.139,1559763,-2.6022,-1.6871,-5.1995,-1.1522,-0.3636,-0.9697,47
17.89,345,5.2518,-3.6488,-6.7723,0.0873,1.4772,1.6454,75,17.278,333,7.0284,3.263,-9.0254,0.4533,-0.2718,0.1132,88,17.771,343,12.8425,-2.8498,-13.5248,-0.5588,-1.7261,0.5502,70,17.599,339,6.9262,2.2758,-22.2362,0.0083,0.4104,-0.3415,40,80659.191,1559764,-1.7146,-1.1349,-5.5763,-1.5188,0.2124,-0.5612,47
17.942,346,1.9272,-0.6,-8.8234,0.7381,1.7606,1.6729,75,17.33,334,6.8361,3.2272,-9.1533,0.0733,-0.2673,-0.2283,88,17.823,344,12.2573,-3.6805,-13.3043,-1.083,-1.8422,0.8349,70,17.651,340,2.1895,1.822,-21.181,-0.6046,-0.0535,-0.224,40,80659.243,1559765,-1.0673,-0.7341,-5.8447,-1.7864,0.6308,-0.2635,47
17.994,347,0.9554,3.6868,-13.1221,1.0406,0.7115,0.6761,75,17.381,335,7.4511,3.4665,-9.442,-0.1465,-0.5017,-0.5151,88,17.875,345,10.5207,-2.6708,-12.4622,-1.458,-1.3221,1.0343,70,17.703,341,3.8092,1.8406,-19.5974,-0.6021,-0.1766,-0.1018,40,80659.294,1559766,-0.5891,-0.4407,-6.0357,-1.9816,0.9354,-0.047,47
18.046,348,-1.1583,7.4561,-17.4461,0.2331,-0.15,-0.1817,75,17.433,336,10.358,4.4411,-9.5222,-0.7869,-0.9516,-0.4176,88,17.927,346,9.3103,-1.6572,-11.3333,-1.7393,-0.6305,1.2994,70,17.755,342,4.8036,1.2587,-17.3382,-0.7577,-0.2508,0.0026,40,80659.346,1559767,-0.2457,-0.2228,-6.1793,-2.1242,1.1555,0.1103,47
18.097,349,-6.3777,5.0746,-13.5138,0.6782,0.5729,-0.8077,75,17.485,337,9.369,2.0839,-10.9227,-1.2544,-0.2931,-0.9911,88,17.979,347,8.5419,-0.7388,-11.4867,-1.0933,0.1947,1.3438,70,17.807,343,5.9568,0.4784,-16.0172,-0.3734,-0.2875,-0.1276,40,80659.398,1559768,-5.4109,0.7727,-12.5355,-2.1706,1.241,-0.5956,47
18.149,350,0.4026,3.8035,-15.5816,1.061,-0.2512,-1.2646,75,17.537,338,9.5082,2.9611,-10.8677,-1.106,0.1308,-1.4053,88,18.03,348,8.6806,0.687,-11.4637,-0.3135,0.8204,1.2949,70,17.859,344,6.9381,0.6015,-14.7325,0.0236,-0.2797,-0.2367,40,80659.45,1559769,-7.1916,-0.2934,-15.7638,-1.7291,1.5944,-1.1107,47
18.201,351,5.3511,3.2168,-13.711,0.097,-0.0442,-0.3925,75,17.589,339,7.5229,2.5161,-10.9469,-1.4494,0.1774,-1.2937,88,18.082,349,9.787,1.4481,-12.0202,-0.0309,1.2771,1.0575,70,17.91,345,7.5668,0.5985,-13.9435,0.2007,-0.2931,-0.2,40,80659.501,1559770,-4.9613,1.4665,-12.8384,-1.067,1.8523,-1.4867,47
18.253,352,8.9628,-1.3842,-13.8748,-0.5607,0.6488,0.3902,75,17.641,340,7.2036,2.4982,-11.3471,-1.1982,0.1219,-1.0161,88,18.134,350,11.6753,1.2076,-12.8961,-0.193,1.6105,0.7274,70,17.962,346,7.9795,0.619,-13.0004,0.2711,-0.4289,-0.1385,40,80659.553,1559771,-3.4553,2.7432,-10.7105,-0.6674,2.0406,-1.7611,47
18.305,353,8.4879,-2.6786,-8.9322,0.2652,1.156,0.9599,75,17.692,341,7.071,3.2488,-11.7649,-0.6975,0.3971,-0.7324,88,18.186,351,12.7828,-0.6088,-13.6593,0.2423,1.8537,0.2538,70,18.014,347,7.7108,-0.2931,-13.4088,0.0148,-0.7003,-0.0742,40,80659.605,1559772,-7.7534,0.1161,-15.8425,-1.137,0.8262,-1.9121,47
18.357,354,7.0102,-3.1994,-5.9342,-0.2125,1.5261,1.3772,75,17.744,342,6.8586,3.6296,-11.4914,-0.352,0.3377,-0.4197,88,18.238,352,10.8928,-0.7533,-15.7581,0.6921,1.8937,0.0144,70,18.066,348,8.5848,0.2781,-13.1114,0.0094,-1.0392,-0.1023,40,80659.657,1559773,-6.1432,-0.7071,-12.1656,-1.5077,-0.0601,-2.0716,47
18.408,355,5.6182,0.2746,-6.8033,0.5193,1.7962,1.539,75,17.796,343,6.9096,3.782,-11.2387,-0.2287,0.3594,-0.1887,88,18.289,353,7.4922,-2.681,-18.3724,0.8966,1.1027,-0.0356,70,18.117,349,9.5353,0.43,-13.1586,0.0995,-1.4252,-0.085,40,80659.708,1559774,-4.9641,-1.326,-9.5448,-1.7782,-0.7069,-2.188,47
